sample_id	SRR	series_id	source	sex	protocol	readlen	fiveAdapter	threeAdapter	paired	reverse_compl	title	treatment	pubmed
GM12878rep1			GM12878                                       	NA								none	none
GM12878rep2			GM12878                                       	NA								none	none

